title,roaster,score,Roaster Location,Coffee Origin,Roast Level,Agtron,Est. Price,Review Date,Aroma,Acidity/Structure,Body,Flavor,Aftertaste,With Milk,Acidity,coffee_name,coffee_review_url,coffee_brand_url,region_africa_arabia,region_caribbean,region_central_america,region_hawaii,region_asia_pacific,is_blend,Est. Price USD
Ka’u Pink Honey,Paradise Roasters,94,"Minneapolis, Minnesota","Ka'u District, Big Island of Hawai’i",Light,64/84,$24.95/4 ounces,February 2021,9.0,9.0,9,9,8.0,,,Ka’u Pink Honey,https://www.coffeereview.com/review/kau-pink-honey/,https://paradiseroasters.com/,0,0,0,1,0,0,$24.95/4 ounces
Kona Maragogype Pink Honey,Paradise Roasters,94,"Minneapolis, Minnesota","Kainaliu, Kona District, Big Island of Hawai’i",Light,64/86,$29.95/4 ounces,February 2021,9.0,9.0,9,9,8.0,,,Kona Maragogype Pink Honey,https://www.coffeereview.com/review/kona-maragogype-pink-honey/,https://paradiseroasters.com/,0,0,0,1,0,0,$29.95/4 ounces
Ecuador La Hormiga “Naty”,Paradise Roasters,93,"Minneapolis, Minnesota","Chito, Zamora Chinchipe, Ecuador",Light,547/74,$22.95/12 ounces,February 2021,9.0,8.0,9,9,8.0,,,Ecuador La Hormiga “Naty”,https://www.coffeereview.com/review/ecuador-la-hormiga-naty/,https://paradiseroasters.com/,0,0,0,0,0,0,$22.95/12 ounces
Guatemala Coffea Diversa Geisha Queen Honey,Paradise Roasters,93,"Minneapolis, Minnesota","Suchitan, Guatemala",Light,62/80,$24.95/4 ounces,February 2021,9.0,9.0,8,9,8.0,,,Guatemala Coffea Diversa Geisha Queen Honey,https://www.coffeereview.com/review/guatemala-coffea-diversa-geisha-queen-honey/,https://paradiseroasters.com/,0,0,1,0,0,0,$24.95/4 ounces
Costa Rica Anaerobic,Jackrabbit Java,93,"Thermopolis, Wyoming",Costa Rica,Medium-Light,54/72,$20.00/12 ounces,February 2021,9.0,8.0,9,9,8.0,,,Costa Rica Anaerobic,https://www.coffeereview.com/review/costa-rica-anaerobic-2/,https://jackrabbitjava.com/,0,0,1,0,0,0,$20.00/12 ounces
Rwanda Triple-Washed,Jackrabbit Java,92,"Thermopolis, Wyoming","Nyamasheke District, Rwanda",Medium-Light,58/76,$20.00/12 ounces,February 2021,9.0,8.0,8,9,8.0,,,Rwanda Triple-Washed,https://www.coffeereview.com/review/rwanda-triple-washed/,https://jackrabbitjava.com/,1,0,0,0,0,0,$20.00/12 ounces
Colombia Finca El Caucho Pink Bourbon,Paradise Roasters,95,"Minneapolis, Minnesota","Huila, Colombia",Light,62/80,$16.95/6 ounces,February 2021,9.0,9.0,9,9,9.0,,,Colombia Finca El Caucho Pink Bourbon,https://www.coffeereview.com/review/colombia-finca-el-caucho-pink-bourbon/,https://paradiseroasters.com/,0,0,0,0,0,0,$16.95/6 ounces
Colombia Antioquia Natural Carbonic Maceration Caturra,Kakalove Cafe,95,"Chia-Yi, Taiwan","Antioquia Department, Colombia",Medium-Light,60/80,NT $310/8 ounces,February 2021,9.0,9.0,9,9,9.0,,,Colombia Antioquia Natural Carbonic Maceration Caturra,https://www.coffeereview.com/review/colombia-antioquia-natural-carbonic-maceration-caturra/,http://www.kakalovecafe.com.tw/,0,0,0,0,0,0,$9.3/8 ounces
Aces La Juntas,JBC Coffee Roasters,93,"Madison, Wisconsin","Chinas, San Agustín, Huila, Colombia",Light,60/82,$18.65/8 ounces,February 2021,9.0,9.0,8,9,8.0,,,Aces La Juntas,https://www.coffeereview.com/review/aces-la-juntas/,https://www.jbccoffeeroasters.com/product-category/coffee/,0,0,0,0,0,0,$18.65/8 ounces
Angamaza,JBC Coffee Roasters,94,"Madison, Wisconsin","Conganama, Loja Province, Ecuador",Medium-Light,60/78,$20.00/12 ounces,February 2021,9.0,9.0,9,9,8.0,,,Angamaza,https://www.coffeereview.com/review/angamaza/,https://www.jbccoffeeroasters.com/product-category/coffee/,0,0,0,0,0,0,$20.00/12 ounces
Colombia La Virgen Microlot,RamsHead Coffee Roasters,92,"Bozeman, Montana","Liboriana Valley, Antioquia Department, Colombia",Medium-Light,53/70,$15.95/12 ounces,February 2021,9.0,8.0,8,9,8.0,,,Colombia La Virgen Microlot,https://www.coffeereview.com/review/colombia-la-virgen-microlot/,https://bit.ly/2P8dTQf,0,0,0,0,0,0,$15.95/12 ounces
Rayo del Sol,JBC Coffee Roasters,93,"Madison, Wisconsin","Panchia, Tabaconas, Cajamarca Region, Peru",Medium-Light,58/78,$18.00/12 ounces,February 2021,9.0,9.0,8,9,8.0,,,Rayo del Sol,https://www.coffeereview.com/review/rayo-del-sol/,https://www.jbccoffeeroasters.com/product-category/coffee/,0,0,0,0,0,0,$18.00/12 ounces
Rock the House Blend,JBC Coffee Roasters,93,"Madison, Wisconsin",Africa; South America; Central America,Medium-Light,58/80,$15.75/12 ounces,February 2021,9.0,8.0,9,9,8.0,,,Rock the House Blend,https://www.coffeereview.com/review/rock-the-house-blend-2/,https://www.jbccoffeeroasters.com/product-category/coffee/,0,0,0,0,0,1,$15.75/12 ounces
Rock the House Blend,JBC Coffee Roasters,93,"Madison, Wisconsin",Africa; South America; Central America,Medium-Light,58/80,$15.75/12 ounces,February 2021,9.0,8.0,9,9,8.0,,,Rock the House Blend,https://www.coffeereview.com/review/rock-the-house-blend/,https://www.jbccoffeeroasters.com/product-category/coffee/,0,0,0,0,0,1,$15.75/12 ounces
Honduras Catuai/Bourbon,Spirit Animal Coffee,92,"Santa Rosa de Copan, Honduras","Tres Cruces, Lempira Department, Honduras",Medium-Light,56/72,$39.00/12 ounces,January 2021,9.0,8.0,8,9,8.0,,,Honduras Catuai/Bourbon,https://www.coffeereview.com/review/honduras-catuai-bourbon/,https://spiritanimalcoffee.com/,0,0,1,0,0,0,$39.00/12 ounces
Kona Geisha Champagne Natural,Paradise Roasters,95,"Minneapolis, Minnesota","Kealakekua, Kona, Big Island of Hawaii",Light,64/84,$74.95/4 ounces,January 2021,9.0,9.0,9,9,9.0,,,Kona Geisha Champagne Natural,https://www.coffeereview.com/review/kona-geisha-champagne-natural-2/,https://paradiseroasters.com/,0,0,0,1,0,0,$74.95/4 ounces
Kona Geisha Champagne Natural,Paradise Roasters,95,"Minneapolis, Minnesota","Kealakekua, Kona, Big Island of Hawaii",Light,64/84,$74.95/4 ounces,January 2021,9.0,9.0,9,9,9.0,,,Kona Geisha Champagne Natural,https://www.coffeereview.com/review/kona-geisha-champagne-natural/,https://paradiseroasters.com/,0,0,0,1,0,0,$74.95/4 ounces
Dafis Abafita Natural Ethiopia,PT's Coffee Roasting Co.,95,"Topeka, Kansas","Oromia Region, Jimma Zone, Ethiopia",Light,64/84,$21.50/12 ounces,January 2021,9.0,9.0,9,9,9.0,,,Dafis Abafita Natural Ethiopia,https://www.coffeereview.com/review/dafis-abafita-natural-ethiopia/,https://www.ptscoffee.com,1,0,0,0,0,0,$21.50/12 ounces
Berg Wu Championship Sidamo Washed G1 Lot 20-02,Kakalove Cafe,95,"Chia-Yi, Taiwan","Sidama (also Sidamo) growing region, southern Ethiopia",Light,64/84,NT $340/8 ounces,January 2021,9.0,9.0,9,9,9.0,,,Berg Wu Championship Sidamo Washed G1 Lot 20-02,https://www.coffeereview.com/review/berg-wu-championship-sidamo-washed-g1-lot-20-02/,http://www.kakalovecafe.com.tw/,1,0,0,0,0,0,$10.2/8 ounces
Ethiopia Natural Hambela Wate,Kakalove Cafe,95,"Chia-Yi, Taiwan","Guji Zone, Oromia Region, southern Ethiopia",Medium-Light,58/76,NT $310/8 ounces,January 2021,9.0,9.0,9,9,9.0,,,Ethiopia Natural Hambela Wate,https://www.coffeereview.com/review/ethiopia-natural-hambela-wate/,http://www.kakalovecafe.com.tw/,1,0,0,0,0,0,$9.3/8 ounces
Kinini Village Rwanda,PT's Coffee Roasting Co.,94,"Topeka, Kansas","Northern Province, Rulindo District, Rwanda",Medium-Light,58/76,$20.00/12 ounces,January 2021,9.0,9.0,9,9,8.0,,,Kinini Village Rwanda,https://www.coffeereview.com/review/kinini-village-rwanda/,https://www.ptscoffee.com,1,0,0,0,0,0,$20.00/12 ounces
